Page Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate
3,0.2419575224050296,0.44440820627201816,Referral,2.638993031698373,2,0.8685932750242634
8,0.5324616499450573,0.25090321904076185,Social,0.9660238146126964,2,1.0
10,1.4733105190261189,0.21348579904522055,Organic,9.004402386978137,1,1.0
3,0.6159258699612696,0.0755362219785417,Referral,1.9512684578896327,1,0.9722766323111525
2,4.713860244535957,0.6819301199136395,Social,3.8695259450719544,4,1.0
5,1.6139237092345338,0.36847172748802687,Social,1.687480629380767,1,0.8928560062894427
7,0.2942672727913847,0.14831017548106146,Organic,7.171731070045035,2,1.0
6,1.9869398210752252,0.23032671717133257,Referral,2.9924661629200124,0,1.0
6,0.2856965460413616,0.48049254491378734,Organic,4.219468464008543,1,1.0
2,0.4141239741595808,0.2664108739926462,Referral,3.2797725492389875,1,0.9840040614336184
4,0.8217707955761175,0.12545436221183617,Paid,4.612913657593009,1,1.0
9,5.888235000079522,0.2932490957301747,Paid,8.652438902021206,0,1.0
7,7.755342687286447,0.46087328582106074,Paid,3.300934783726686,1,1.0
11,5.250546842673495,0.28850545106033215,Organic,5.2768128128400615,2,1.0
8,1.2197446716971667,0.6132410977968061,Organic,3.0619349856020834,0,1.0
3,0.9542029865321497,0.4013297362846464,Organic,1.4256441294342004,1,0.9624936422244482
2,2.38989963442255,0.1894808144101669,Referral,4.237897870312852,2,1.0
3,3.838818315655759,0.18926546210747908,Social,1.593548073244933,2,1.0
4,15.049713300643354,0.0305251444806434,Organic,2.8738706829314733,1,1.0
5,0.4232073450418146,0.8449393803434533,Organic,0.7278104461411538,4,0.7492036585051882
5,0.1516449233206013,0.18922916363178735,Paid,3.970197239543308,2,1.0
4,3.5560016694394703,0.16052965071719072,Referral,3.1545499870878797,4,1.0
3,5.3554084587506505,0.38612473548671,Organic,3.8340733205967767,1,1.0
8,5.619210148332473,0.35892958207003794,Organic,3.9109380779702003,2,1.0
2,3.403933092165628,0.04820166890094001,Organic,4.879187493991548,4,1.0
1,9.238372528003193,0.5263555174915215,Organic,5.415281971069926,2,1.0
4,2.146207592864058,0.1592057388481888,Organic,14.338516307865081,5,1.0
5,7.353770371452756,0.2228967038497635,Organic,9.840270639683602,2,1.0
4,10.308497468065537,0.6463903300210974,Referral,5.3168998790137945,1,1.0
3,5.6350410547428265,0.05417940231829003,Referral,2.769737314803667,1,1.0
4,1.1121415028208963,0.29375395941432353,Organic,2.8142589453247195,1,1.0
8,0.6552728058899355,0.2682410176642265,Referral,0.3706030514512945,2,0.9073492919062902
2,2.3830162947800466,0.08311427672945457,Paid,1.586549520701836,1,0.6252939908196553
2,1.810000328651607,0.15809285358717004,Direct,3.079790781764523,2,1.0
2,6.305266175252669,0.24901885002751883,Organic,4.219020147523022,4,1.0
7,0.31618711905488023,0.23421654155435048,Referral,18.23996375799351,2,1.0
6,0.8941673264414414,0.2200510159535976,Referral,4.770245175706212,5,1.0
7,4.18054846103158,0.10362922978395586,Organic,5.464398172543695,3,1.0
6,0.29941673537983965,0.496233396048682,Direct,1.3806984867931573,4,1.0
7,1.1603617541895956,0.5398582919283599,Paid,2.25388062686357,1,1.0
6,1.4689316184688965,0.11518794313357231,Referral,3.096119050330377,1,1.0
4,2.923299626646029,0.17138231627702805,Organic,0.9899936276823877,2,1.0
2,0.5163984409013744,0.19018838788975626,Organic,4.6816217034678,1,1.0
3,5.911319979457081,0.3238853886802373,Paid,1.962131629101919,3,1.0
4,1.7801348783852746,0.2735038876920478,Organic,1.2233165297261226,2,1.0
7,7.4675288829847695,0.5093217486631368,Paid,6.3634723300972365,0,1.0
4,1.8926018888608174,0.13979616367904932,Organic,3.1033895265566587,0,1.0
3,0.9649174657281343,0.4854521835042943,Referral,4.377897111227182,0,1.0
2,0.4588550970831323,0.36961868677751003,Paid,1.24304707030713,2,0.7967557424547288
6,0.011256375411137238,0.18312667796411985,Organic,5.9003340308448555,2,1.0
3,2.2788706382199604,0.4759607164569466,Referral,5.027113599371577,1,1.0
5,0.34003255795587695,0.31415867943547854,Paid,3.7149166398184286,3,1.0
9,1.4913982201312304,0.1249713200345534,Organic,5.792328941717439,1,1.0
6,2.6694705082287595,0.39708009393168997,Organic,2.2606589736464393,2,0.8687610399453146
6,0.9675904098674976,0.23224285245722792,Organic,2.6504010685917785,1,1.0
9,0.5779313974360883,0.6457106694868895,Organic,2.5728844533515853,2,1.0
4,4.471255226016584,0.14718122068317013,Direct,0.7919360899622273,2,1.0
9,8.80059288553245,0.2898801421887009,Paid,2.997510010313455,1,1.0
2,0.3175499658303944,0.16714025259162815,Organic,3.4937756517619354,2,1.0
10,0.5073525135162468,0.23548402285857398,Organic,2.134253607453947,0,1.0
6,9.657576918783363,0.05108687080073301,Organic,3.1070076519935896,3,1.0
9,0.11554965545343936,0.11002388440177611,Paid,3.276242705373073,1,1.0
4,11.400416877338902,0.06691859599557652,Organic,5.5535489926849735,3,1.0
1,0.013965906627127354,0.31336135701878454,Paid,5.755733747613868,4,1.0
6,6.206541319901083,0.25633812377564674,Organic,9.081799797021272,1,1.0
8,1.1015838796582622,0.30680859921207687,Social,2.2705261958393845,5,1.0
6,8.370491992142888,0.2964079056711756,Organic,7.478524876377625,0,1.0
2,1.143540954398527,0.3815736795386159,Paid,6.619431041505792,3,1.0
3,3.186606655219403,0.06859946837079905,Referral,1.1218573860138978,3,1.0
5,0.25025103445563046,0.045909718802066075,Paid,6.971477091571966,2,1.0
3,0.8325212864557237,0.2831866242706098,Social,1.1263977197236308,1,0.8744843267502497
3,4.457407393190684,0.1311917349714964,Referral,3.7901010927703633,0,1.0
5,2.2566912899066884,0.1727127120638288,Paid,7.826826066796699,5,1.0
6,7.891978664572248,0.39981815065279946,Paid,0.42439394244855017,0,1.0
5,1.679792406433677,0.227532182911388,Direct,5.162229294657114,0,1.0
3,6.116335587742476,0.39099235420149153,Referral,1.2486325879613145,1,1.0
5,1.7878187921382305,0.5042881717594425,Direct,9.227409198604727,2,1.0
3,11.625378244874224,0.2852315842956066,Organic,6.4730439477062225,1,1.0
3,9.64423172393417,0.5739087701953813,Paid,0.9140210593945091,5,1.0
6,1.1975696904893145,0.16177789168944498,Direct,2.3981329274077803,1,0.9088357026361086
5,6.512662490682253,0.1351135552621585,Organic,8.233772652219175,2,1.0
6,5.643963817427391,0.23675500359878007,Direct,4.468721981755516,3,1.0
2,0.7097519011818283,0.164526487976559,Organic,5.685964728757378,1,1.0
4,2.936816329533221,0.2530427949307719,Direct,2.644228965632059,1,1.0
7,0.22637721148788698,0.5457533592735235,Paid,6.688997323275894,1,1.0
6,5.436695792351719,0.10367119612142682,Organic,10.679449414627271,2,1.0
5,0.5754647995443896,0.25665080034543425,Social,1.4213801693060428,1,1.0
4,0.2203412992879926,0.44947111403560897,Organic,2.5218802882446263,2,1.0
3,1.5335725490526284,0.3171730094227865,Organic,4.474073839817083,2,1.0
3,2.5805971421105482,0.1876220487689337,Organic,3.058990147789545,4,1.0
7,5.7913470027108005,0.19411155245459646,Referral,4.3985189793959245,1,1.0
7,10.977091268977032,0.4438276047983579,Direct,5.067110645459287,3,1.0
6,1.7367380342262182,0.19995315795620902,Organic,3.0721968139467215,3,1.0
6,0.18705290029379895,0.2190782166390574,Paid,2.179539054299033,3,1.0
7,4.1482887603234415,0.27095287403753343,Organic,3.7848632761647525,3,1.0
8,2.498422852206063,0.30430918730473094,Referral,1.0710391996741937,0,1.0
6,1.78203123907626,0.05521369227753374,Organic,1.9879835143919349,0,1.0
3,1.1100139392391175,0.21624185958007527,Organic,2.725889501821931,2,1.0
7,2.0938673371432466,0.05105229024388399,Organic,3.551557937110545,2,1.0
5,1.2405505295635961,0.11393632634739781,Paid,8.767249214248691,0,1.0
5,4.244228025902186,0.21124391565946946,Social,0.6689786983316508,1,1.0
7,2.3550881247292024,0.3306023200701377,Paid,3.6438179525181646,0,1.0
4,6.28300224093805,0.28599354649519837,Organic,5.672679926459652,1,1.0
9,2.352788346448182,0.05622644969889527,Paid,2.9341606232289847,1,1.0
4,0.8164594712035298,0.47729448704370453,Social,2.252288264698725,0,1.0
5,5.713277467576045,0.19879907714284992,Organic,3.2758003650227674,1,1.0
2,2.4440402679092195,0.3346154179043382,Organic,2.296890371421974,2,1.0
6,0.6951948633680447,0.1463059665156274,Organic,1.4920045781034217,5,1.0
3,2.930573926598889,0.3152610306849136,Referral,1.8151687334964832,0,1.0
6,1.3281776894388035,0.5123492200305838,Paid,1.8443252983349194,0,0.9325454594296814
2,5.58150820981024,0.2780673788599246,Paid,14.264802931707855,3,1.0
3,1.8115637850745654,0.15751119537879968,Organic,4.103969067239065,6,1.0
5,3.8887178019998303,0.1425346737889799,Organic,3.141011092559457,2,1.0
3,0.30123901650657187,0.2284727323906531,Direct,1.5561284920660086,1,1.0
4,1.5126641709219673,0.27690742329652135,Organic,9.791441185977845,1,1.0
5,12.266537687935152,0.08575462345408377,Direct,5.452240456492651,1,1.0
6,4.957980378612432,0.17656126281407047,Paid,5.9369222268790125,2,1.0
3,0.5228487487656157,0.5280604060827006,Organic,8.897551137734014,2,1.0
3,0.9762101765975317,0.1945413159564688,Paid,2.3102080586045988,1,1.0
4,1.2006080766715876,0.03137966560534934,Direct,9.049868247078232,0,1.0
5,3.1526013866520888,0.1394595720655908,Paid,4.376876322838118,2,1.0
4,4.244016809963814,0.2462714108251806,Social,7.275034714239368,5,1.0
2,4.153207760655973,0.177797786867308,Organic,3.5498083436792056,4,1.0
6,2.139278678872115,0.3994584897869793,Paid,2.3535211697939276,1,1.0
6,4.995177537594125,0.39431139706661505,Social,5.883734969007183,3,1.0
8,1.7238430529144333,0.021722598336025425,Direct,1.3460041066524981,2,1.0
1,0.39675856905759527,0.2549449489445414,Paid,5.4195413771598435,2,1.0
6,2.4933808432706606,0.1152029675283075,Referral,0.2070173819999189,3,1.0
2,9.128558726358033,0.10406166189156638,Organic,0.8465403052133496,1,1.0
5,4.725017449757027,0.5935636271771894,Organic,1.740479856108795,6,1.0
2,2.5932349420926633,0.15600480925979324,Organic,3.0165793171954713,5,1.0
6,3.1222105088525813,0.11394598492701503,Organic,6.081979543064046,2,1.0
4,8.001964200709786,0.322041647534774,Organic,1.9347063956718213,3,1.0
3,1.6776472746574818,0.48083390985930763,Organic,4.80342949711786,2,1.0
5,1.2076816166111808,0.09447467377958224,Direct,3.1162333816392547,0,1.0
6,11.348458299276192,0.12348497921390435,Referral,7.008283027454058,0,1.0
3,5.973042440378119,0.2942400230616854,Paid,1.5864544419609712,1,1.0
4,1.1704451615846119,0.6315198751416798,Direct,2.6644997979833374,3,1.0
8,1.8696356051504632,0.3035135654312956,Organic,8.023780429273895,2,1.0
4,1.6088309835866306,0.5656975822865379,Paid,1.436848945773108,2,0.8248027988594051
10,0.48436676280251184,0.6420299221182524,Referral,5.274311468214218,4,1.0
4,9.497379219239686,0.32838431446506366,Organic,0.557270605809776,0,1.0
5,1.554116888462007,0.3767705822363964,Referral,8.505160283446262,2,1.0
10,6.246233022988854,0.18452661377260854,Organic,1.756233586722795,0,1.0
3,0.6297796990361515,0.41957294066077505,Organic,1.9099358261669357,7,1.0
4,2.3813619684406815,0.1415866582536039,Organic,1.0462371417866865,1,0.9933829120236505
7,0.0727593867895229,0.1268491719144591,Direct,5.003371014447885,1,1.0
5,4.334574492637506,0.4509169341674394,Referral,3.831937970323239,4,1.0
10,2.609036660175747,0.16768021529751131,Referral,1.5235067144705878,3,1.0
4,2.94720813850993,0.3112703131543445,Paid,3.3429796629206106,2,1.0
2,0.15931917713242652,0.39076577413443314,Organic,13.33602859214232,1,1.0
3,0.7111126201871178,0.1731158236047595,Referral,6.910315317448445,1,1.0
5,0.23171526523331742,0.09949405575423456,Paid,7.983271935667626,2,1.0
8,1.022887032626958,0.036005996836174115,Organic,1.864586258447049,1,1.0
4,2.9620635504001505,0.1391470264482049,Referral,1.6280821415885804,3,1.0
3,2.5054181160681397,0.6510126073390348,Organic,0.6631754076734568,2,1.0
8,2.841408456324744,0.14102922059165787,Organic,4.301892387599437,0,1.0
6,2.390535712457777,0.04467658056046121,Social,2.7264653522163536,2,1.0
8,0.9566052334221545,0.5582407707059253,Referral,8.402272183592608,2,1.0
3,0.8411562630123677,0.11620493645829469,Referral,8.00141814012807,3,1.0
3,0.4422292455054428,0.38655514194367746,Paid,4.917496225172536,1,1.0
5,5.672834767733094,0.04990729557129281,Organic,1.1614552158159206,5,1.0
11,2.8750855072237713,0.34233088615895974,Referral,1.0738121661240059,2,1.0
7,0.6192686688140001,0.5281057611267155,Referral,0.3418879631244524,1,0.7999291728638829
4,0.585160563444853,0.12131372237284965,Paid,1.5592342612719783,2,1.0
3,6.191545676399855,0.1024993495472728,Direct,1.1604732458097509,2,1.0
8,4.072897557993839,0.3150640503275923,Direct,5.168079937562848,2,1.0
8,3.2311314280910715,0.21006260379157152,Paid,2.5959626888128904,1,1.0
3,1.566995235775559,0.39091560626631044,Social,2.170248239269463,1,1.0
3,0.9113350325882902,0.49470378839834606,Paid,3.1206829555284994,2,1.0
6,11.654794419520117,0.2784648130919117,Paid,3.519864491011351,3,1.0
2,4.787190508255374,0.5252811563715021,Organic,2.0144284719955654,4,1.0
7,1.077659781000376,0.44283095217900875,Paid,2.6838005349021476,1,1.0
5,5.643047000571059,0.1051226205039511,Direct,5.538817410331922,1,1.0
5,4.268028043371605,0.24248273033797488,Social,6.247581499411092,2,1.0
6,1.0575389217977507,0.09731858362921995,Social,1.1413305623170695,0,0.9374711791343642
1,1.6682685224988238,0.38419957484672423,Organic,2.918301478090645,3,0.9627351543895981
10,0.6172131666621097,0.3380427433829219,Organic,9.027136635742279,4,1.0
2,0.35315111327899673,0.24237833015593205,Organic,9.169156548892058,2,1.0
5,3.8486371631331178,0.18212507415710308,Organic,8.427336656713786,2,1.0
4,0.933924377207235,0.17116276299390953,Paid,4.560344050865341,4,1.0
5,5.145384876577549,0.15300228479065994,Organic,2.7945433678232816,0,1.0
4,16.284397770817776,0.2836844180288076,Paid,0.40830423071034927,2,1.0
5,0.2391426801592959,0.11521873962180516,Paid,1.3888333918159894,1,0.7805975266666291
6,1.9218641510242986,0.19926032687927073,Organic,3.167497505343782,1,1.0
1,4.859412762982256,0.12563409856478377,Organic,5.672978403241965,0,1.0
3,4.666993364299804,0.643345940905428,Social,4.863526557780136,2,1.0
2,4.28131354626783,0.13982261281501734,Organic,1.0779548449324625,4,1.0
5,1.2877135707889624,0.23753153471321636,Organic,2.2856222453496513,2,1.0
4,1.8146027305974262,0.16592812734868592,Social,8.674680381854143,2,1.0
7,2.7113702547195837,0.3800226292016706,Direct,2.900913518275145,0,1.0
7,10.94212830295279,0.3211691186728126,Referral,4.910351437002628,3,1.0
2,1.1904703840051498,0.6100167193357181,Organic,2.3952315420596384,1,0.9898097205334998
6,7.6974608307628944,0.30832696436359663,Organic,0.6335612354936426,3,1.0
7,0.9414905959050053,0.2549393409409261,Direct,3.961049126689503,6,1.0
2,13.549957836916008,0.14865112517004503,Social,2.800176439852718,4,1.0
7,3.3283859847771593,0.680795586549518,Paid,3.0015409448462744,0,0.9493444529468968
5,1.8681303472749788,0.2731639355439437,Organic,3.579698961687669,1,1.0
7,2.8510198597129595,0.13158722460941152,Organic,1.499107639222952,1,1.0
6,0.9545523746875291,0.6286607942050515,Organic,3.43792007386585,2,1.0
5,0.9613342979757178,0.4588573656075864,Referral,1.5509354794080579,3,1.0
6,0.361607047616913,0.33896423375417534,Organic,4.9339539935263135,0,0.8751636270102439
5,0.3632852982230596,0.08532332827707578,Direct,20.021284702121193,5,1.0
4,1.2816221392386788,0.09780090967283875,Organic,1.8951288058964382,0,1.0
7,4.31725657737778,0.3430155652929761,Referral,8.746138671996468,6,1.0
1,2.8092596695529695,0.3892643710156325,Organic,3.169156083464636,0,1.0
8,0.3247091420924522,0.31086370513599954,Paid,3.5457834476314027,2,1.0
4,5.736427276013574,0.5527228671460921,Organic,2.892015115286917,4,1.0
5,2.759146973153312,0.2736000464618834,Social,1.85343980425388,3,1.0
3,9.721491939905285,0.15900798680606495,Paid,2.23754830167461,1,1.0
7,3.327674414920913,0.6711778201678625,Organic,10.7554423572601,3,1.0
2,0.5777516133551177,0.16023075676171022,Social,1.4982226823240417,3,0.8384061506480025
5,1.9261268769137332,0.3332258195397585,Paid,6.633625657224974,2,1.0
10,3.136616198688543,0.36155418896871044,Direct,2.4964111243821043,3,1.0
7,0.08601551337693306,0.291312499070624,Direct,0.5176054153485553,1,0.8324669016654878
7,0.045067618736137086,0.3290304848953652,Direct,3.408635542222352,1,1.0
10,0.4157282893703822,0.2628500652268041,Organic,13.6396207133488,2,1.0
1,0.8697113560694196,0.11890758403445559,Organic,5.900910890463071,0,1.0
5,1.6839846584127491,0.15784128682273202,Direct,0.2091273117236033,3,1.0
3,2.0050152778587913,0.14322256875175168,Paid,5.504601130822633,1,1.0
8,0.4455961132849674,0.1740292708464749,Organic,2.6997979575781277,4,1.0
7,3.3569799458981446,0.16300242339885218,Social,1.2032786095739563,2,1.0
3,2.7200465888968486,0.7926547823005319,Organic,2.4026371306959615,4,1.0
1,1.0463928643346656,0.2532169877307543,Referral,1.2661068756105869,1,1.0
5,0.04126211416090922,0.133916763045289,Social,0.572741948016439,0,0.5288026272314337
3,0.24248477330990564,0.16724342136072082,Social,1.7224247819645155,1,0.5082267595513816
6,1.4912355270611635,0.050577027510123516,Organic,2.050625649994679,3,1.0
3,0.5016168061932867,0.2556974717157588,Paid,1.9983848921649832,2,1.0
4,1.418757736089952,0.281449718907375,Paid,2.353450729729418,3,1.0
5,2.968057252697767,0.6950088505414233,Paid,1.881070384888407,2,1.0
8,2.3771622427607606,0.23177486592468022,Organic,3.2803922139882706,0,1.0
7,0.7886791569892964,0.3458584092439203,Paid,8.616289796604448,2,1.0
5,1.2639718021447668,0.18141239483412794,Paid,0.6443024482467679,1,0.9276540174373443
4,2.8559962133409793,0.38709618065672474,Paid,4.357585117604365,1,1.0
6,5.916716776932096,0.4412483191773937,Social,4.323490699123865,2,1.0
8,4.197694321121431,0.060068090382018574,Paid,1.2959749286438937,2,1.0
4,2.418275998979576,0.007868090852084089,Organic,7.360139156641023,0,1.0
3,1.3496290383984006,0.47802695161741404,Referral,0.6737269460457774,3,1.0
2,1.3626331061532173,0.35676114188126906,Social,5.528478251981256,1,1.0
3,6.346258618565298,0.0828116952165478,Organic,3.5785040272022637,2,1.0
9,0.12010308947657194,0.413105125304971,Referral,1.2352518849683551,2,1.0
5,13.2642101272938,0.07920017016182229,Organic,8.725271739016227,2,1.0
4,3.2752861135754707,0.3171507761772657,Organic,0.627118184646287,1,1.0
7,3.4289877837683878,0.21073012961714954,Direct,7.593991677779683,2,1.0
8,0.11621574058496681,0.4978670834241888,Direct,1.9020361462143698,4,1.0
4,2.7906310470964977,0.4141401718994155,Paid,2.7076557572958673,2,1.0
4,1.9894725596116458,0.163581829753037,Referral,1.1740126599679372,5,1.0
8,0.33540667997814017,0.4241024626419138,Social,2.0421306198909805,3,1.0
5,0.9768663827936477,0.4205382086412505,Direct,6.108036618171878,2,1.0
5,6.630413099722312,0.45012941499052045,Paid,4.202479922222964,2,1.0
6,2.395445862087,0.47604704784596,Paid,10.212445965826412,2,1.0
7,1.6003211375588928,0.35183866342012465,Paid,1.372679456414687,5,1.0
2,0.22637669467797544,0.04049597215785925,Organic,2.4132965049727115,2,1.0
1,3.756565438361616,0.5684506782564406,Paid,4.4364315220947885,0,1.0
7,3.640562964453111,0.32621531237697254,Social,4.452984315118637,7,1.0
5,2.8560926619917124,0.2330848381636334,Social,2.5830044179238016,4,1.0
4,2.141658132836479,0.16902793219590082,Social,1.0455124060644612,1,0.9049883868380946
4,1.7063410754418777,0.5584382072557583,Organic,7.8120386673524544,5,1.0
3,2.698825174813135,0.34232435783150256,Paid,1.3753270295435924,0,1.0
8,0.7973525790276021,0.7897954524203986,Organic,1.9587796024920832,3,0.9584077962455358
7,8.503855265207113,0.11557410824802634,Organic,2.5981605733954,0,1.0
1,2.6659867812206945,0.018612442258509658,Direct,4.128671031215687,4,1.0
2,1.1183800699221211,0.3025193210081061,Paid,1.2392937576940082,2,1.0
4,1.7917652424125063,0.3734644158357922,Social,2.5266281006513283,4,0.9524661376797516
6,4.9148209166219035,0.476520170802151,Organic,5.837243410093609,0,1.0
4,0.5288373660127729,0.23060981256868882,Paid,9.159373150232025,1,1.0
6,1.039476420159915,0.22772690607321208,Referral,1.6918660958390186,1,0.9777055185520297
8,3.413694104622141,0.26948199322332367,Organic,0.5945064071281135,1,0.9803973780151924
7,1.1371525977235957,0.1683165768147924,Organic,4.346906969897895,2,1.0
5,4.7178961341020855,0.39422182017279966,Organic,0.7730914996292921,4,1.0
2,0.41935035858141745,0.23993533185786928,Referral,3.9401862255976305,4,1.0
1,4.315115515490753,0.567646641391592,Direct,2.7771651880204224,0,0.9516115942886569
7,0.21239973591018885,0.11786883107498913,Social,2.617454852588546,2,1.0
4,0.03801771475406361,0.18841432230039165,Direct,1.3062444718778896,3,1.0
1,6.854928694028068,0.24239307385484682,Social,10.415478713359363,1,1.0
6,2.612082821709275,0.19770541172978678,Social,2.29736273327666,0,1.0
5,1.3007924525356167,0.3991071996283847,Paid,5.4183352986655855,0,1.0
8,0.7942203378416719,0.22300090004152445,Paid,3.4732597505860707,0,1.0
5,2.878266354689556,0.15956691711117135,Paid,4.891406795724057,2,1.0
4,2.133946794957514,0.3237829434214287,Social,8.436773910455928,1,1.0
10,14.337776370996067,0.30948418304426467,Organic,1.3123699314888437,1,1.0
7,12.261985296453915,0.3659978668561264,Organic,1.6131046554456905,1,1.0
4,3.0237756964867666,0.4323097180632175,Direct,2.0966722416344936,1,0.8220336027959583
8,1.7548727445768897,0.6499020408633883,Organic,8.334458771398063,4,1.0
5,2.0267527617104864,0.08416072675895618,Direct,5.725969782734843,1,1.0
5,3.441634589131911,0.39804512860115965,Referral,2.8547589558852726,1,1.0
5,0.32133462421160086,0.09209786964496626,Organic,2.5127428056579277,1,1.0
2,1.1940629853416393,0.09720130335478121,Referral,2.1785131183144713,1,0.9613116643201763
3,0.23476769816173135,0.13808186173791495,Social,4.313047965562814,3,1.0
4,0.2285728740136331,0.02654646526340506,Organic,8.050592304664873,2,1.0
9,0.653868245692027,0.20535979830988563,Social,4.563618803865816,2,1.0
0,1.9922407672859441,0.3578891239130183,Social,3.3002278479839298,3,1.0
5,4.608204397084502,0.09156908070169385,Organic,5.059560528500014,2,1.0
5,1.9936552130032772,0.5104783476273279,Organic,1.8901736859749994,1,1.0
5,1.226055608682887,0.12206415275759688,Organic,9.069597697291144,3,1.0
5,0.2578274501185031,0.02332251724781924,Organic,9.055312571814758,0,1.0
4,2.3974938904090415,0.08471514484248123,Organic,3.1454911050839227,4,1.0
9,0.9493501387524472,0.09188304984357318,Referral,1.7468187728501294,3,1.0
6,2.863022978575449,0.4571642385226133,Organic,1.746603374858811,3,1.0
2,11.341371390634006,0.39030134207198924,Social,2.4584198048607826,1,1.0
6,0.3540350203627704,0.2328119383234242,Organic,4.064775167197726,2,1.0
6,0.7152490116647354,0.32987714838768545,Paid,0.505146668064754,4,1.0
6,1.9222024071474388,0.4710192939803471,Referral,2.7660649415862957,3,1.0
5,10.38416238617068,0.3143351721736627,Social,5.946264438046479,1,1.0
2,4.432727049808145,0.2859854496154639,Paid,2.338076626417194,0,1.0
5,6.85509595729328,0.46038821634100857,Organic,1.5660160302604174,1,1.0
3,1.218112633897147,0.1332415153910693,Social,3.832732638162167,0,1.0
3,14.499403683442331,0.07274335887429516,Organic,2.8189592291775876,5,1.0
3,0.3255391592723407,0.27741055071660764,Organic,5.038873368344376,2,1.0
6,0.1632827277166131,0.2531457247444864,Paid,1.0692235398906547,2,0.7642583997937071
6,5.8055587367515065,0.12265477726335168,Social,3.923794410259726,2,1.0
4,7.862792385881892,0.42312940708228747,Organic,8.053915465849688,0,1.0
5,0.28486240948793573,0.19094101874741015,Paid,4.039796443679012,1,0.908741341710585
5,0.3611768756871473,0.16822248837254486,Paid,1.7155526356151485,0,0.7984590215370212
7,0.10121070252238568,0.33933389978162876,Direct,0.25733968054349815,2,0.9871748479133017
5,0.3311445080376064,0.18305552554061896,Organic,1.4280343275595828,5,1.0
3,0.7049645818617328,0.03675159455717553,Organic,2.568988402461288,1,1.0
4,10.52734538374645,0.31012364086037136,Paid,0.6405326106217203,1,1.0
7,3.306598143954675,0.1621005788360801,Organic,3.0438957881737942,3,1.0
5,4.522716333048679,0.28500484987591307,Referral,2.5308103787848135,1,1.0
7,4.49019527630489,0.20225277092024083,Referral,1.1150489202186695,1,1.0
8,2.2976294629472607,0.2316862286750964,Social,4.678400742483303,1,1.0
7,4.790882888610091,0.16892844746409366,Social,5.452857023652823,2,1.0
5,2.717592328471457,0.3959023583160074,Direct,9.591394006408997,3,1.0
8,1.133022086781241,0.04519676731488414,Paid,2.636885612239579,2,1.0
4,2.470520143820889,0.11469517490619655,Direct,0.9987828253714808,2,1.0
6,2.2875469928914836,0.17899823367089168,Organic,1.1950857686085898,3,1.0
8,5.2025053608297025,0.29433627913457605,Referral,7.352477027751577,2,1.0
6,12.007027844584762,0.13536982024141306,Paid,3.4612228227838804,2,1.0
3,1.5882040956302657,0.27428660571662894,Social,2.8200985438957913,4,1.0
8,4.324034790745252,0.23918110033432605,Paid,6.479232666397556,1,1.0
